" Monthly averaged odata for station MLO       
"
""
" /data/instrument/database_active//curves///mloo_mon.csv                                                                                                                                                                                                         
"
""
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats.  Column 5 gives the o concentration in per-meg units."
" This is the standard version of the data most often sought.  The monthly values have "
" been adjusted to 24:00 hours on the 15th of each month.  Column 6 gives the same "
" data after a seasonal adjustment to remove the quasi-regular seasonal cycle.  The "
" adjustment involves subtracting from the data a 4-harmonic fit. "
" Column 7 is a smoothed version of the data generated from a stiff"
" cubic spline function plus 4-harmonic functions. Column 8 is the same smoothed "
" version with the seasonal cycle removed. Column 9 is identical to Column 5 except "
" that the missing values from Column 5 have been filled with values from Column 7."
" Column 10 is identical to Column 6 except missing values have been filled with "
" values from Column 8.  Missing values are denoted by -99.99"
"                                                                                           "
   Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
     ,   ,   Excel,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
2004,  2,        0, 2004.1257,  -333.09,  -322.38,    -336.52,  -325.81,    -333.09,  -322.38
2004,  3,        0, 2004.2049,  -348.72,  -333.70,    -342.28,  -327.25,    -348.72,  -333.70
2004,  4,        0, 2004.2896,  -355.75,  -334.05,    -350.48,  -328.79,    -355.75,  -334.05
2004,  5,        0, 2004.3716,  -346.87,  -326.34,    -350.80,  -330.27,    -346.87,  -326.34
2004,  6,        0, 2004.4563,  -343.10,  -333.03,    -341.87,  -331.81,    -343.10,  -333.03
2004,  7,        0, 2004.5383,  -331.52,  -335.06,    -329.76,  -333.30,    -331.52,  -335.06
2004,  8,        0, 2004.6230,  -319.28,  -336.88,    -317.24,  -334.84,    -319.28,  -336.88
2004,  9,        0, 2004.7077,  -316.61,  -341.94,    -311.05,  -336.38,    -316.61,  -341.94
2004, 10,        0, 2004.7896,  -315.39,  -338.48,    -314.79,  -337.88,    -315.39,  -338.48
2004, 11,        0, 2004.8743,  -327.03,  -340.80,    -325.69,  -339.46,    -327.03,  -340.80
2004, 12,        0, 2004.9563,  -333.90,  -335.60,    -339.32,  -341.02,    -333.90,  -335.60
2005,  1,        0, 2005.0411,  -345.71,  -338.16,    -350.25,  -342.69,    -345.71,  -338.16
2005,  2,        0, 2005.1260,  -357.72,  -347.00,    -355.15,  -344.43,    -357.72,  -347.00
2005,  3,        0, 2005.2027,  -348.87,  -334.02,    -360.91,  -346.06,    -348.87,  -334.02
2005,  4,        0, 2005.2877,  -371.20,  -349.61,    -369.52,  -347.92,    -371.20,  -349.61
2005,  5,        0, 2005.3699,  -361.25,  -340.59,    -370.42,  -349.76,    -361.25,  -340.59
2005,  6,        0, 2005.4548,  -366.57,  -356.28,    -361.97,  -351.68,    -366.57,  -356.28
2005,  7,        0, 2005.5370,  -355.68,  -359.00,    -350.23,  -353.55,    -355.68,  -359.00
2005,  8,        0, 2005.6219,  -343.84,  -361.29,    -338.01,  -355.45,    -343.84,  -361.29
2005,  9,        0, 2005.7068,  -331.84,  -357.14,    -332.03,  -357.33,    -331.84,  -357.14
2005, 10,        0, 2005.7890,  -338.60,  -361.74,    -335.98,  -359.12,    -338.60,  -361.74
2005, 11,        0, 2005.8740,  -345.47,  -359.29,    -347.12,  -360.93,    -345.47,  -359.29
2005, 12,        0, 2005.9562,  -360.73,  -362.45,    -360.94,  -362.66,    -360.73,  -362.45
2006,  1,        0, 2006.0411,   -99.99,     0.00,    -371.95,  -364.40,    -371.95,  -364.40
2006,  2,        0, 2006.1260,   -99.99,     0.00,    -376.83,  -366.11,    -376.83,  -366.11
2006,  3,        0, 2006.2027,  -388.58,  -373.73,    -382.48,  -367.63,    -388.58,  -373.73
2006,  4,        0, 2006.2877,  -401.07,  -379.47,    -390.86,  -369.26,    -401.07,  -379.47
2006,  5,        0, 2006.3699,  -394.18,  -373.51,    -391.48,  -370.82,    -394.18,  -373.51
2006,  6,        0, 2006.4548,  -376.25,  -365.96,    -382.69,  -372.40,    -376.25,  -365.96
2006,  7,        0, 2006.5370,  -373.85,  -377.17,    -370.60,  -373.92,    -373.85,  -377.17
2006,  8,        0, 2006.6219,  -358.74,  -376.18,    -358.04,  -375.49,    -358.74,  -376.18
2006,  9,        0, 2006.7068,  -347.66,  -372.96,    -351.77,  -377.07,    -347.66,  -372.96
2006, 10,        0, 2006.7890,  -355.00,  -378.13,    -355.50,  -378.63,    -355.00,  -378.13
2006, 11,        0, 2006.8740,  -365.17,  -378.99,    -366.46,  -380.28,    -365.17,  -378.99
2006, 12,        0, 2006.9562,  -375.39,  -377.10,    -380.20,  -381.92,    -375.39,  -377.10
2007,  1,        0, 2007.0411,  -384.57,  -377.01,    -391.20,  -383.65,    -384.57,  -377.01
2007,  2,        0, 2007.1260,  -400.40,  -389.68,    -396.14,  -385.42,    -400.40,  -389.68
2007,  3,        0, 2007.2027,  -400.43,  -385.57,    -401.90,  -387.04,    -400.43,  -385.57
2007,  4,        0, 2007.2877,  -412.29,  -390.70,    -410.44,  -388.85,    -412.29,  -390.70
2007,  5,        0, 2007.3699,  -413.66,  -392.99,    -411.25,  -390.59,    -413.66,  -392.99
2007,  6,        0, 2007.4548,  -404.28,  -393.99,    -402.67,  -392.38,    -404.28,  -393.99
2007,  7,        0, 2007.5370,  -390.13,  -393.45,    -390.78,  -394.10,    -390.13,  -393.45
2007,  8,        0, 2007.6219,  -378.59,  -396.04,    -378.44,  -395.88,    -378.59,  -396.04
2007,  9,        0, 2007.7068,  -376.69,  -401.99,    -372.37,  -397.67,    -376.69,  -401.99
2007, 10,        0, 2007.7890,  -376.61,  -399.74,    -376.28,  -399.42,    -376.61,  -399.74
2007, 11,        0, 2007.8740,  -380.20,  -394.02,    -387.45,  -401.26,    -380.20,  -394.02
2007, 12,        0, 2007.9562,  -401.27,  -402.99,    -401.38,  -403.10,    -401.27,  -402.99
2008,  1,        0, 2008.0410,  -411.62,  -404.08,    -412.60,  -405.06,    -411.62,  -404.08
2008,  2,        0, 2008.1257,  -414.74,  -404.03,    -417.78,  -407.07,    -414.74,  -404.03
2008,  3,        0, 2008.2049,  -421.67,  -406.64,    -424.03,  -409.00,    -421.67,  -406.64
