" Monthly averaged cdata for station CGO       
"
""
" /data/instrument/database_active//curves///cgoc_mon.csv                                                                                                                                                                                                         
"
""
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats.  Column 5 gives the c concentration in ppm units."
" This is the standard version of the data most often sought.  The monthly values have "
" been adjusted to 24:00 hours on the 15th of each month.  Column 6 gives the same "
" data after a seasonal adjustment to remove the quasi-regular seasonal cycle.  The "
" adjustment involves subtracting from the data a 4-harmonic fit. "
" Column 7 is a smoothed version of the data generated from a stiff"
" cubic spline function plus 4-harmonic functions. Column 8 is the same smoothed "
" version with the seasonal cycle removed. Column 9 is identical to Column 5 except "
" that the missing values from Column 5 have been filled with values from Column 7."
" Column 10 is identical to Column 6 except missing values have been filled with "
" values from Column 8.  Missing values are denoted by -99.99"
"                                                                                           "
   Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
     ,   ,   Excel,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
2007,  4,        0, 2007.2877,   -99.99,     0.00,     379.75,   380.17,     379.75,   380.17
2007,  5,        0, 2007.3699,   380.30,   380.59,     380.07,   380.36,     380.30,   380.59
2007,  6,        0, 2007.4548,   380.46,   380.56,     380.44,   380.55,     380.46,   380.56
2007,  7,        0, 2007.5370,   380.95,   380.70,     380.99,   380.74,     380.95,   380.70
2007,  8,        0, 2007.6219,   381.44,   380.92,     381.46,   380.93,     381.44,   380.92
2007,  9,        0, 2007.7068,   381.42,   380.89,     381.66,   381.13,     381.42,   380.89
2007, 10,        0, 2007.7890,   381.70,   381.26,     381.75,   381.31,     381.70,   381.26
2007, 11,        0, 2007.8740,   381.69,   381.49,     381.71,   381.50,     381.69,   381.49
2007, 12,        0, 2007.9562,   381.69,   381.77,     381.60,   381.68,     381.69,   381.77
2008,  1,        0, 2008.0410,   381.70,   381.93,     381.64,   381.87,     381.70,   381.93
2008,  2,        0, 2008.1257,   381.85,   382.22,     381.67,   382.04,     381.85,   382.22
2008,  3,        0, 2008.2049,   381.80,   382.29,     381.71,   382.20,     381.80,   382.29
2008,  4,        0, 2008.2896,   382.02,   382.44,     381.94,   382.36,     382.02,   382.44
2008,  5,        0, 2008.3716,   382.29,   382.58,     382.22,   382.50,     382.29,   382.58
2008,  6,        0, 2008.4563,   382.44,   382.54,     382.55,   382.65,     382.44,   382.54
2008,  7,        0, 2008.5383,   383.07,   382.81,     383.04,   382.78,     383.07,   382.81
2008,  8,        0, 2008.6230,   383.28,   382.75,     383.45,   382.92,     383.28,   382.75
2008,  9,        0, 2008.7077,   383.63,   383.10,     383.58,   383.05,     383.63,   383.10
2008, 10,        0, 2008.7896,   383.74,   383.31,     383.61,   383.18,     383.74,   383.31
2008, 11,        0, 2008.8743,   383.41,   383.21,     383.50,   383.30,     383.41,   383.21
2008, 12,        0, 2008.9563,   383.39,   383.47,     383.34,   383.42,     383.39,   383.47
2009,  1,        0, 2009.0411,   383.48,   383.71,     383.31,   383.54,     383.48,   383.71
2009,  2,        0, 2009.1260,   -99.99,     0.00,     383.29,   383.65,     383.29,   383.65
2009,  3,        0, 2009.2027,   383.42,   383.90,     383.27,   383.76,     383.42,   383.90
2009,  4,        0, 2009.2877,   383.54,   383.96,     383.46,   383.88,     383.54,   383.96
2009,  5,        0, 2009.3699,   383.56,   383.85,     383.71,   384.00,     383.56,   383.85
2009,  6,        0, 2009.4548,   383.84,   383.95,     384.01,   384.12,     383.84,   383.95
2009,  7,        0, 2009.5370,   384.39,   384.14,     384.50,   384.25,     384.39,   384.14
2009,  8,        0, 2009.6219,   384.71,   384.18,     384.92,   384.39,     384.71,   384.18
2009,  9,        0, 2009.7068,   385.01,   384.48,     385.07,   384.54,     385.01,   384.48
2009, 10,        0, 2009.7890,   385.05,   384.62,     385.13,   384.69,     385.05,   384.62
2009, 11,        0, 2009.8740,   385.73,   385.53,     385.06,   384.85,     385.73,   385.53
2009, 12,        0, 2009.9562,   384.88,   384.96,     384.93,   385.01,     384.88,   384.96
